id,gender,state,car_make,car_model,car_year,previous_rent_times,username,password
1,Male,Texas,BMW,M3,1998,18,johndoe1,password
2,Female,South Carolina,Chrysler,300,1999,30,janedoe1,password
3,Female,Colorado,Honda,Accord,1992,61,janedoe2,password
4,Male,Arkansas,Acura,Legend,1988,62,johndoe2,password
5,Female,Texas,Isuzu,Amigo,1994,67,janedoe3,password
6,Female,Connecticut,GMC,Yukon XL 2500,2007,53,janedoe4,password
7,Female,Pennsylvania,Pontiac,Montana SV6,2005,61,janedoe5,password
8,Female,District of Columbia,Audi,R8,2012,67,janedoe6,password
9,Male,New York,Chevrolet,S10,1992,79,johndoe3,password
10,Male,New York,Maserati,Quattroporte,2010,91,johndoe4,password
11,Female,Kentucky,Ford,ZX2,2002,34,janedoe7,password
12,Male,Pennsylvania,Porsche,911,1999,89,johndoe5,password
13,Male,Alabama,Infiniti,G,2008,6,johndoe6,password
14,Male,Florida,Land Rover,Freelander,2004,95,johndoe7,password
15,Male,Texas,Nissan,Sentra,2012,16,johndoe8,password
16,Female,California,Dodge,Grand Caravan,2007,45,janedoe8,password
17,Male,North Carolina,BMW,3 Series,1999,71,johndoe9,password
18,Female,Kentucky,Mercedes-Benz,SLK-Class,2011,92,janedoe9,password
19,Male,Florida,Acura,Legend,1989,47,johndoe10,password
20,Female,Florida,Suzuki,Samurai,1994,93,janedoe10,password
21,Male,California,Bentley,Continental GTC,2009,20,johndoe11,password
22,Male,Florida,Nissan,Frontier,2001,92,johndoe12,password
23,Female,Florida,Mercury,Lynx,1986,6,janedoe11,password
24,Male,Texas,Jeep,Wrangler,2001,59,johndoe13,password
25,Female,New York,Toyota,Camry,2004,53,janedoe12,password
26,Female,Oklahoma,Volvo,850,1995,29,janedoe13,password
27,Female,Texas,Porsche,Boxster,2003,66,janedoe14,password
28,Female,Oregon,Mazda,CX-7,2012,96,janedoe15,password
29,Male,California,BMW,X6,2013,90,johndoe13,password
30,Male,Tennessee,Ford,Escort,2002,48,johndoe14,password
31,Male,Arizona,Chevrolet,Camaro,1995,72,johndoe15,password
32,Female,Washington,Volkswagen,GTI,1991,35,janedoe16,password
33,Male,Oklahoma,Subaru,Legacy,2010,13,johndoe16,password
34,Male,Maryland,Chrysler,Town & Country,1998,12,johndoe17,password
35,Male,Kentucky,Infiniti,G35,2006,29,johndoe19,password
36,Female,California,GMC,Envoy,1998,8,janedoe17,password
37,Male,Missouri,Maserati,Spyder,2003,11,johndoe19,password
